"first_h2","h1","pageTitle","random_text_from_the_page","url"
"","Opportunities anywhere","Volunteer in your community | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/all/opportunities"
"","Fundraising Campaigns","Crowdfunding - Sedunia
","We are currently curating the list of fundraising campaigns.Please email us at info@sedunia.me if you are interested in joining the closed-beta program and be the first batch to launch a fundraising campaign on Sedunia.","https://www.sedunia.me/campaigns"
"Volunteer for a Mission","","Missions - Sedunia
","Find out where you can make a difference and start changing lives!   ","https://www.sedunia.me/missions?tag=&show=upcoming&sort=chronological&page=1"
"","","","Hati Programs","https://www.hati.my/hati-programs/"
"","Example Domain","Example Domain","This domain is for use in documentation examples without needing permission. Avoid use in operations.","http://www.example.com"
"","Opportunities anywhere","Volunteer in your community | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/all/opportunities#bypass-nav"
"MAD For Good connects resources to drive deep, exponential impact.","Here's How We Can Serve You!","Home | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/"
"MAD For Good connects resources to drive deep, exponential impact.","Here's How We Can Serve You!","Home | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/index"
"","Opportunities anywhere","Volunteer in your community | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer/search"
"","Organisations anywhere","Discover organisations in your city | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/organizations"
"Hop in and get upskilled!","MAD Academy","Academy | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/academy"
"Volunteer for Events","Attend Events","Events | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/events"
"""It is our business to do good. It's not just about branding or commercial value.""","Enabling Businesses & Corporate Organisations","For Businesses | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/for-businesses"
"Did You Know? 63% of NGOs cannot survive longer than 6 months without additional funding.","Serving Communities","For Communities | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/for-communities"
"✨For Volunteers✨","The Volunteer Pool","Volunteer Pool - Sign up! | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/volunteer-pool"
"How did we begin?","Our History","Our Story | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/our-story"
"Insaf Malaysia","English Teacher","English Teacher | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia/opportunities/English-Teacher/103538"
"About Insaf Malaysia","Insaf Malaysia","Insaf Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/insafmalaysia"
"Join us!","Hello from the team!","Our Team | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/our-team"
"Visit the MAD For Good blogs","Blog Posts","MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/blog"
"Follow our socials for more @madforgood_org","Do Good, Feel Good!","Social Feed | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/social-feed"
"","Join MAD For Good","Join MAD For Good | MAD For Good","This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.","https://platform.madforgood.org/register"
"","Login","Login | MAD For Good","Or","https://platform.madforgood.org/login"
"","500","500 | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/UCSI-University-ESR/opportunities/Echoes-of-Hope-Melodies-of-Peace-Musical-Night-2025-Committee/106652"
"About Environmental and Social Responsibilities (ESR)","Environmental and Social Responsibilities (ESR)","Environmental and Social Responsibilities (ESR) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/UCSI-University-ESR"
"Environmental and Social Responsibilities (ESR)","YBB x North Youth Changemaker Workshop","YBB x North Youth Changemaker Workshop | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/UCSI-University-ESR/opportunities/YBB-x-North-Youth-Changemaker-Workshop/107110"
"Teach For Malaysia","ERTI Volunteer Tutor PPR Taman Medan Cahaya (January - April)","ERTI Volunteer Tutor PPR Taman Medan Cahaya (January - April) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia/opportunities/ERTI-Volunteer-Tutor-PPR-Taman-Medan-Cahaya-January---April/106478"
"About Teach For Malaysia","Teach For Malaysia","Teach For Malaysia | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia"
"Teach For Malaysia","ERTI Volunteer Tutor PPR Desa Rejang (January - April)","ERTI Volunteer Tutor PPR Desa Rejang (January - April) | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/Teach-For-Malaysia/opportunities/ERTI-Volunteer-Tutor-PPR-Desa-Rejang-January---April/106479"
"SUKA Society","Weekly Activity Session with Children Survivors of Human-trafficking","Weekly Activity Session with Children Survivors of Human-trafficking | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Weekly-Activity-Session-with-Children-Survivors-of-Human-trafficking/88694"
"About SUKA Society","SUKA Society","SUKA Society | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society"
"SUKA Society","Children's Education Programme Volunteer","Children's Education Programme Volunteer | MAD For Good","How do we work with Corporate Businesses?","https://platform.madforgood.org/o/SUKA-Society/opportunities/Childrens-Education-Programme-Volunteer/85956"
"4,334,945","Impact made easy.","Sedunia, Impact made easy
","Donate, volunteer and support the people and causes you care about.","https://www.sedunia.me/"
"Volunteer for a Mission","","Missions - Sedunia
","Find out where you can make a difference and start changing lives!   ","https://www.sedunia.me/missions"
"Connect in groups","","Groups - Sedunia
","We are currently curating our missions and would love to help you set up your group together.","https://www.sedunia.me/groups"
"Grow a Community together","","Communities - Sedunia
","Share resources for the places and people we care about.","https://www.sedunia.me/communities"
"Impact made easy.","","About - Sedunia
","","https://www.sedunia.me/about"
"","Frequently Asked Questions","FAQ - Sedunia
","It is 100% free to start a mission. Sedunia does not charge any service fee.","https://www.sedunia.me/faq"
"","Contact Us","Contact Us - Sedunia
","
                    O-G-48 Block O, Jalan PJU 1A/1,
                    Taipan 2, Ara Damansara,
                    47301 Petaling Jaya, Selangor,
                    Malaysia.
                ","https://www.sedunia.me/contact"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/campaigns/create"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/missions/create"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/groups/create"
"Search any keyword","","Search - Sedunia
","Find missions, groups, campaigns, or communities that you care about.","https://www.sedunia.me/search"
"","Match BETA","Sedunia Match
","Sharing our resources is one of the most effective ways to help one another.","https://www.sedunia.me/match"
"56113","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/signin"
"","","Sign up - Sedunia
","By signing up, you agree to our Terms of use and privacy policy.","https://www.sedunia.me/signup"
"How can we help?","","Help Center - Sedunia
","Impact made easy.","https://www.sedunia.me/help"
"Here we go...","","Terms - Sedunia
","","https://www.sedunia.me/terms-of-service"
